time_s,target,O01,O02,O03,O04,O05,O06,O07,O08,O09,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,O22,O23,O24,O25,O26,O27,O28
0,61.17169862984743,59.54141973835962,65.14879824114882,63.635580767323404,73.97216140465179,53.7164314714504,49.2331601516739,66.5428780425899,61.796950490945264,65.36638444675286,52.31940753008427,64.65250392604703,72.61783702497226,56.93066712635079,56.241912954700396,61.40318151703798,58.37264609977362,61.72762677085578,63.06861516569411,39.0481506339215,63.49965353169076,96.61682326934138,64.55073612666544,61.55570034429468,64.57048666272927,44.7718943990064,66.1705363664903,68.32320443132633,56.89685362440821
1,59.297420526133955,58.39635867669526,65.61115521986444,58.01044196278828,70.25680847017335,55.06414223765404,53.41106085196624,63.929299386124455,62.055172667406,62.63530331776022,49.70910567530987,65.09990477011641,69.76613210456806,55.74026843120202,52.687115872660726,60.80145585037775,67.08797854973406,65.5890708226428,60.52060797126882,40.046783502973796,62.53979319990219,88.45015355168738,63.61934485974602,64.8706236003369,59.42075902993413,48.00409319543347,62.156167581598424,65.88561621504799,61.03537039902785
2,55.85115532524612,57.49952987863275,66.31597797059956,54.489166121701004,67.55365354533075,56.75329942187866,56.92901691393172,61.76457939601495,61.71694742674586,58.990607159369816,49.08632235630641,67.14005348256586,67.12933173123908,54.421833503530365,49.174220120014695,62.23318330108326,75.13804807038814,68.97874209319968,54.991539293476194,39.744500536935476,59.9275847775869,79.33960069752365,63.03581036582636,68.51773249005025,57.480162589551824,52.02290192228395,58.55009031320078,60.359096745832844,70.90618680396896
3,51.340221564104006,56.11457564979996,67.08763072040796,55.24561939149463,67.10163619305371,58.25797247815803,57.736479053216016,62.92636828304812,60.205797921950634,54.96611448752344,50.416730316795416,69.83344638631442,64.39227499110157,54.49416585989181,46.87096461283153,63.86700925060042,75.90306054906975,66.765643382272,49.865688690593345,40.04615202824401,57.608971278220764,76.89239154446604,62.8221300511823,66.85656387769478,59.5406969927228,51.784539445999975,57.478084686094995,54.57887309245129,74.72401707080196
4,46.33951585270371,52.70684716039448,67.6530749045225,55.25622272100185,63.777540719639504,55.26134052245267,55.74328963468156,64.20350034787572,59.472527295166245,51.739890146397315,50.01726999980427,69.77805705235737,59.512044484304525,54.20823061608145,45.590763122911405,60.85967467552447,68.34120744889503,61.83504056679986,46.983887322191464,42.11074719528412,56.67773268465807,79.24161161483917,62.54941234489547,57.375379291903165,63.55959917698031,43.893578640067666,57.67935105837445,52.41183618171577,65.42694857030962
5,41.38011904321503,47.62266314963232,66.65635203327543,52.3229739055416,55.39580558303581,45.59962958474488,52.090054771318094,62.79882562871215,60.18952373369147,50.17468932842462,46.52992643992577,66.69690631533575,51.85490267414694,50.323664458075505,43.15158295048798,52.6300299413724,59.12934044965854,57.89301432593014,45.806105391628606,43.73050171022308,55.83208182889311,78.76912694333222,62.39894334852636,45.3537782317305,67.93834554595796,36.465376153034775,58.203232194422036,53.91792657609045,54.67284727811689
6,36.88894578460463,41.29059627784301,63.66791349996086,47.51626030298716,46.87103086873826,36.31610810825936,46.376063219702274,58.597017199892974,58.58471057971488,48.69682858830892,42.217081998984185,62.388497856712746,43.521343088412394,42.556755214565015,36.88011945221878,44.55219017709523,58.17761803938107,54.98909146116438,43.260662710341464,43.30316840268984,56.70192809649656,74.63648327023205,60.71932167874519,38.77165380691313,67.94626499727137,37.782578171841784,59.403091989074035,56.922735997898,50.47442689898196
7,33.17009722502445,34.047823368985775,59.21842685411434,42.70485631092476,41.377423466471384,33.71670884922932,38.43711689680744,51.77649348233368,52.55293435069146,44.31251722899139,39.831832146111296,57.93165244309421,38.63226635477952,33.41594992039815,28.734442128705748,40.884132262987194,60.6453001306179,57.907122384376294,36.59930870078682,40.220095000017665,57.79638369134442,71.97110032581591,58.01426840438709,38.80829008789798,62.89198126677182,43.320713389260604,59.837593941799,55.16210183947446,47.879273365646725
8,30.393946862959954,27.592735990173775,54.22381611547772,39.668322936897255,37.36879086957844,34.33670186012562,32.10956765349407,45.10143278482468,45.749792922499175,36.628061019873876,37.65120425610228,52.86397470326655,37.72172073979043,26.31029930198067,23.47790344759251,39.538243290775014,56.71571346129846,63.787083303031146,26.988664129395104,32.56443076449713,52.97473444663294,70.97059054683515,59.426817586248845,39.478000618160465,53.44011909212625,47.66996267769717,54.759668066611155,47.451401727006214,46.2613367520907
9,28.60003473722286,24.890655815924827,50.351399277967204,38.71445216331318,34.13616840729691,33.065940366369276,28.898114460844873,41.26452613634011,41.91363591925901,29.294829098716804,33.166914282706344,45.68749645167354,37.22389371961978,23.30175878836711,23.7983182285091,37.60880814096895,49.405922697866814,60.257291624822045,17.672314714052174,23.541312311155068,43.552444755140485,67.86843825973527,60.28160388352059,34.24986182876333,41.90028775705698,48.524580804251016,43.785578233059724,42.34911005094476,45.72084041426261
