time_s,target,O01,O02,O03,O04,O05,O06,O07,O08,O09,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,O22,O23,O24,O25,O26,O27,O28
0,16.588301417245923,12.96197178710723,13.74274396418293,4.882854468826116,20.512899167549392,11.71132311211199,10.91882669882746,28.921308713432246,28.428148587505405,3.621132800397702,6.042333153518797,15.004132499869423,19.26648836217493,12.934016595941518,25.618711838731347,14.65477222768335,9.338757070141114,25.029108720676554,8.894029055219578,0.0,8.110081605196752,52.52678995105566,26.944026081803546,25.880688884476953,3.0876914098107973,29.385737755588174,14.755718939488034,0.14772133001169685,43.474067804101495
1,15.68248880664031,12.715143834098118,16.503162217280316,8.035094844396586,20.34739056302857,12.459254025034802,8.302070781499577,26.011596672920348,24.335909117729756,6.409820084821323,5.294996035742284,18.04073738990975,20.439648391591376,12.905865568687693,22.38478683140332,15.668005221401453,12.42793932831378,30.294351900577112,12.039196704028349,0.0,13.995632282661148,37.23787015910449,27.980756559566863,16.193589171328444,12.000045600779801,34.89828570409448,19.091641662498304,6.012912929955867,37.35953724630623
2,13.956630875445436,13.951161170724946,21.26757928720783,10.377908637170103,22.16895922908402,12.58057732706688,4.94055950671379,22.051561837045696,19.56162743932289,8.379692988071106,5.43982382952448,17.99114742993911,18.93433423256444,13.034188122015932,17.906062688685644,15.83334180702537,15.127836690272401,31.81065249162674,13.189932826109619,0.0,16.984460073914413,23.997644868778007,25.813999762185418,7.549065051058418,17.22863346556116,36.700968968674374,24.027897508240855,12.121060749279785,31.56039632809076
3,11.57689027484504,16.439385176257918,25.104987104244334,10.68047713118769,23.034559254308963,10.517551136354058,3.052356897038289,19.23395257574666,18.274623456780947,9.430822386828062,7.861037004513408,15.276946540568066,16.07536983926121,12.44256018482075,15.885257200368557,11.791661222358915,15.410971624531685,28.740298041974434,12.552117341832115,8.779674418758923,17.69214985471708,20.861098840255284,21.06568907870578,4.596428952365195,17.831190559363677,26.97385335132244,26.38081528105554,14.015620625411177,24.946135730111294
4,8.779763177765178,17.924310513282485,25.80924813200247,10.768644560242404,20.533361231125163,7.247443822324859,3.9284491940249513,17.29830124925999,20.184088552927278,8.944939791591327,10.484983906000862,14.47714617406446,13.93640316024143,11.195470045054691,16.034995893966737,4.731007787075284,13.186038327387946,26.11011438320684,9.205117534315981,17.107727284272706,20.807320832156872,22.173449474630516,14.783325266359299,7.287089321449992,17.024404311377907,14.20955711626751,22.982626675645776,13.844256930984752,16.94284364005979
5,5.867021520654041,15.004537480677868,23.185070534267012,11.735603039143044,15.178488595517267,7.108908988366773,5.488078377155028,14.947726435518804,21.96326572826835,6.342430366338334,9.38701380948959,17.181304349261612,10.613431113831364,10.681356223668514,14.241620260331434,0.7939958579484139,9.23028357638487,24.573220937200517,0.0,24.03856597544221,22.017873449087404,23.65698693210149,7.211053165541883,12.332757441056025,13.720352322180068,7.732623676606345,17.12947082357216,12.77006993578929,15.533280243360043
6,3.1901103500903694,8.808974735839818,17.939025478920822,11.300997398339547,8.475690182743858,10.430354300272302,5.41575270273471,11.225975783890128,22.437566335700016,3.1500413165809658,4.824885944538268,19.465653506968422,6.09577613334484,10.345193461249734,9.895937122400966,0.0,8.214470297606244,21.74097782378847,0.0,26.82035348114465,22.04267300302248,24.20176235942435,1.1414373647456477,14.2184568331514,10.77291865484693,5.391335272249084,14.233127199393952,11.964031634742557,19.811612798492433
7,1.1214052545104602,3.236879356278517,11.589867490957499,8.463628884268307,3.0488385947426,10.13856673490335,3.5153988550669686,9.4684137974963,22.587316744240134,0.29500474285433187,0.0,15.532765464537952,2.7320629279904876,8.386091970592721,5.724467651835139,0.0,9.697495632852856,18.706427988441412,0.0,24.53239347319277,23.507690723705263,26.79682361312421,1.698961769249044,12.279335166828528,8.445382151854815,3.845829384592679,13.263700606834988,10.753863681510225,19.319115783926627
8,0.0,1.079758280608778,5.456812304367523,6.5329108810160506,0.5886122378801906,3.0298881822655934,0.4726874345650207,11.56844765664737,21.865200205438967,0.0,0.0,7.219576606494195,0.0,5.606442355533712,2.8276542081542995,0.0,6.727508964976362,15.72088768920981,6.158453934526355,21.338276754007524,24.07969025402243,31.19150599710469,5.453344904240872,7.737642572533241,6.067227248534322,1.3613959616156208,9.853659860856524,6.878284459756104,12.021355418885884
9,0.07392880955615135,4.740458424324036,0.4330068044025885,5.736597849122115,1.3284746492151867,0.0,0.0,11.87339722272857,18.989678757141636,0.0,0.0,2.0987637329311983,0.0,3.0097590388551416,0.39506017430027385,0.0,1.2539872126968152,10.879161937159992,18.324356185212096,20.251536290757276,23.487166828391324,31.69154123082097,7.61896766701666,4.562619266418829,7.515249631873348,0.0,4.157520687351824,0.2491259301920401,1.9328516017710173
